Date,Inventory,Accounts_Receivable,Accounts_Payable,Accrued_Expenses,Other_Current_Liab,Other_Current_Assets,Cash,PPE_Gross,Accumulated_Depreciation,PPE_Net,Intangibles_Gross,Accumulated_Amortization,Intangibles_Net,Total_Fixed_Assets,Credit_Cards,Notes_Payable,Deferred_Income,Accrued_Taxes,Total_Current_Liabilities,Long_Term_Debt,Deferred_Tax_Liab,Other_Liabilities,Total_Long_Term_Liabilities,Total_Liabilities,Paid_In_Capital,Common_Stock,Preferred_Stock,Capital_Round_1,Capital_Round_2,Capital_Round_3,Retained_Earnings,Total_Equity,Total_Current_Assets,Total_Assets,Total_Liabilities_Equity,Balance_Check
2021-12-31,4000.0,6000.0,3588.0,1200.0,1000.0,6850.0,36255.693499999936,205000,-120,204880,0,-100,-100,204780,1500,35000,5000,1000,48288.0,100000,3000,5000,108000,156288.0,10000,25500,10000,10000,10000,10000,26097.693499999936,101597.69349999994,53105.693499999936,257885.69349999994,257885.69349999994,0.0
2022-01-31,3000.0,7000.0,2691.0,1044.0,1120.0,6870.929999999999,66278.6557915,205000,-240,204760,0,-200,-200,204560,1500,35000,5000,1000,47355.0,100000,3000,5000,108000,155355.0,10000,25500,10000,10000,10000,10000,56854.585791499994,132354.5857915,83149.5857915,287709.5857915,287709.5857915,0.0
2022-02-28,5000.0,8600.0,4485.0,1054.44,1116.64,6893.6645401999995,98646.99379006345,205000,-360,204640,0,-300,-300,204340,1500,35000,5000,1000,49156.08,100000,3000,5000,108000,157156.08000000002,10000,25500,10000,10000,10000,10000,90824.57833026344,166324.57833026344,119140.65833026345,323480.65833026345,323480.65833026345,0.0
2022-03-31,6500.0,3400.0,5830.5,1265.328,1113.29008,6918.245366110998,141308.88904133256,205000,-480,204520,0,-400,-400,204120,1500,35000,5000,1000,50709.11808,100000,3000,5000,108000,158709.11808,10000,25500,10000,10000,10000,10000,128038.01632744353,203538.01632744353,158127.13440744355,362247.1344074436,362247.1344074435,5.820766091346741e-11
2022-04-30,2000.0,3800.0,1794.0,1100.83,1109.95,6944.715751963626,181885.60591179252,205000,-600,204400,0,-500,-500,203900,1500,35000,5000,1000,46504.78,100000,3000,5000,108000,154504.78,10000,25500,10000,10000,10000,10000,168525.54166375613,244025.54166375613,194630.32166375616,398530.32166375616,398530.32166375616,0.0
2022-05-31,6200.0,7000.0,5561.4,1111.8437136000002,1200.0,6973.120550621552,212338.2189957541,205000,-720,204280,0,-600,-600,203680,1500,35000,5000,1000,50373.2437136,100000,3000,5000,108000,158373.2437136,10000,25500,10000,10000,10000,10000,202318.09583277564,277818.09583277564,232511.33954637568,436191.3395463757,436191.3395463757,0.0
2022-06-30,5500.0,6000.0,4933.5,1334.2124563200002,1196.3999999999999,7003.506245201159,250947.52912476647,205000,-840,204160,0,-700,-700,203460,1500,35000,5000,1000,49964.11245632,100000,3000,5000,108000,157964.11245632,10000,25500,10000,10000,10000,10000,239446.9229136476,314946.9229136476,269451.03536996763,472911.03536996763,472911.0353699676,5.820766091346741e-11
2022-07-31,6700.0,5500.0,6009.9,1160.7648369984001,1192.8108,7035.921002455289,291831.12720805383,205000,-960,204040,0,-800,-800,203240,1500,35000,5000,1000,50863.4756369984,100000,3000,5000,108000,158863.4756369984,10000,25500,10000,10000,10000,10000,279943.5725735107,355443.5725735107,311067.0482105091,514307.0482105091,514307.0482105091,0.0
2022-08-31,5600.0,3700.0,5023.2,1172.372485368384,1340.0,7070.4147279807985,337985.06085731555,205000,-1080,203920,0,-900,-900,203020,1500,35000,5000,1000,50035.57248536838,100000,3000,5000,108000,158035.57248536838,10000,25500,10000,10000,10000,10000,323839.90309992793,399339.90309992793,354355.47558529634,557375.4755852963,557375.4755852963,0.0
2022-09-30,6200.0,7000.0,5561.4,1406.8469824420608,1335.9800000000002,7107.039123311699,382365.27232275886,205000,-1200,203800,0,-1000,-1000,202800,1500,35000,5000,1000,50804.226982442065,100000,3000,5000,108000,158804.22698244208,10000,25500,10000,10000,10000,10000,371168.0844636285,446668.0844636285,402672.31144607055,605472.3114460706,605472.3114460706,0.0
2022-10-31,3400.0,5000.0,3049.7999999999997,1223.956874724593,1331.9720600000003,7145.84774496178,435440.4826016257,205000,-1320,203680,0,-1100,-1100,202580,1500,35000,5000,1000,48105.7289347246,100000,3000,5000,108000,156105.72893472458,10000,25500,10000,10000,10000,10000,421960.6014118629,497460.6014118629,450986.3303465875,653566.3303465876,653566.3303465875,1.1641532182693481e-10
2022-11-30,6200.0,4000.0,5561.4,1236.1964434718388,1327.9761438200003,7186.896065482754,490628.9331144902,205000,-1440,203560,0,-1200,-1200,202360,1500,35000,5000,1000,50625.57258729184,100000,3000,5000,108000,158625.57258729183,10000,25500,10000,10000,10000,10000,476250.25659268105,551750.256592681,508015.82917997293,710375.8291799729,710375.8291799729,0.0
